tabla_nombre,columna_nombre,tipo_dato,es_obligatorio,es_clave_primaria,es_clave_foranea,tabla_referencia,columna_referencia
usuarios,id,INT,true,true,false,,,
usuarios,nombre,VARCHAR(100),true,false,false,,,
usuarios,email,VARCHAR(255),true,false,false,,,
usuarios,fecha_registro,DATE,false,false,false,,,
productos,id,INT,true,true,false,,,
productos,nombre,VARCHAR(200),true,false,false,,,
productos,precio,DECIMAL(10,2),true,false,false,,,
productos,categoria_id,INT,false,false,true,categorias,id
productos,stock,INT,false,false,false,,,
categorias,id,INT,true,true,false,,,
categorias,nombre,VARCHAR(100),true,false,false,,,
categorias,descripcion,TEXT,false,false,false,,,
